"place","fit","se","lower","upper","year"
"grocery_and_pharmacy",1.38602563252196,0.0327824290230061,1.32177322407824,1.45027804096568,2020
"parks",30.2735426614214,0.0525702971462674,30.1705067270836,30.3765785957593,2020
"residential",7.75563692366391,0.0349160130333392,7.68720276556446,7.82407108176336,2020
"retail_and_recreation",-9.90408333384593,0.0312154944440771,-9.96526460559934,-9.84290206209252,2020
"transit_stations",-11.6665826161238,0.041388260020236,-11.7477021507907,-11.585463081457,2020
"workplaces",-23.8584201190563,0.0260286005843517,-23.9094352611859,-23.8074049769266,2020
"grocery_and_pharmacy",5.72989579606799,0.0322792933181694,5.66662952040842,5.79316207172757,2021
"parks",29.1558693973334,0.0486494152214244,29.0605182604997,29.2512205341671,2021
"residential",4.7251445245841,0.030857036667658,4.66466582176334,4.78562322740485,2021
"retail_and_recreation",0.534355717377609,0.0304026954907761,0.474767507228325,0.593943927526892,2021
"transit_stations",-1.57552429990819,0.0393464729676908,-1.65264199825646,-1.49840660155993,2021
"workplaces",-20.0281626684781,0.0246037465513873,-20.0763851433705,-19.9799401935858,2021
"grocery_and_pharmacy",2.27513913394399,0.0430878080525085,2.19068851522559,2.3595897526624,2022
"parks",22.8477444116427,0.0645883710771388,22.7211534304345,22.974335392851,2022
"residential",3.9788051854947,0.0412258849019553,3.89800387197833,4.05960649901106,2022
"retail_and_recreation",-2.05689686725085,0.0405156550427555,-2.13630615472197,-1.97748757977973,2022
"transit_stations",-3.49337398139135,0.0526046424377297,-3.59647726749755,-3.39027069528516,2022
"workplaces",-14.2057879247588,0.0329910036994663,-14.2704491549417,-14.1411266945759,2022
